id,code,name,rating,review_number,address_line2,latitude,longitude,minimum_order_amount,minimum_delivery_fee,hero_listing_image,distance,url_key
79182,lyl2,Jalal Sons - Main Market,4.7,1603,,31.52371655,74.34550295,249,99,https://images.deliveryhero.io/image/fd-pk/LH/lyl2-listing.jpg,1.309,jalal-sons-main-market
110958,xs11,The Reema's Kitchen,4.9,395,,31.52945095,74.35588,249,99,https://images.deliveryhero.io/image/fd-pk/LH/xs11-listing.jpg,1.046,the-reemas-kitchen
15800,u8dt,Bundu Khan Restaurant - Fortress,4.9,1904,"peshawar block, fortress stadium lahore cantt",31.53449925,74.3642326,249,99,https://images.deliveryhero.io/image/fd-pk/LH/u8dt-listing.jpg,1.655,bundu-khan-restaurant-fortress
16389,u3hd,Paradise Restaurant,4.8,1230,"Liberty Market, Gulberg 3, Lahore",31.5088423,74.3455412,249,99,https://images.deliveryhero.io/image/fd-pk/LH/u3hd-listing.jpg,1.792,paradise-restaurant
4052,s4ls,Karachi Red Rock - Gulberg,4.8,20493,"Shop no 12,13 5 C-3 Ahad arcade near hussain chowk lahore",31.50727555,74.3474664,249,99,https://images.deliveryhero.io/image/fd-pk/LH/s4ls-listing.jpg,1.807,karachi-red-rock-gulberg
93157,yg7m,Jay Bee's - Gulberg,4.8,944,,31.5076661,74.3475385,249,99,https://images.deliveryhero.io/image/fd-pk/LH/yg7m-listing.jpg,1.768,jay-bees-gulberg-yg7m
7723,t5gt,Rizwan Biryani,4.9,5889,"14-E, Main Market, Gulberg 2, Lahore",31.52396355,74.3453103,249,99,https://images.deliveryhero.io/image/fd-pk/LH/t5gt-listing.jpg,1.335,rizwan-biryani
113232,zc9w,XO Chinese Chips - Gulberg,4.5,107,,31.5100442,74.3265534,249,99,https://images.deliveryhero.io/image/fd-pk/LH/zc9w-listing.jpg,3.261,xo-chinese-chips-gulberg
95391,qzvb,Yumto - The House Of Arabic Mandi - Gulberg,4.8,571,,31.5203785,74.3520983,249,99,https://images.deliveryhero.io/image/fd-pk/LH/qzvb-listing.jpg,0.63,yumto-the-house-of-arabic-mandi-gulberg
108897,z41f,Double Shot - Gulberg,4.8,387,,31.5138723,74.3430872,249,99,https://images.deliveryhero.io/image/fd-pk/LH/z41f-listing.jpg,1.651,double-shot-gulberg
103607,lwwd,Karachi Paratha Roll BAR B.Q,4.9,534,,31.50937505,74.3573423,249,99,https://images.deliveryhero.io/image/fd-pk/LH/lwwd-listing.jpg,1.23,karachi-paratha-roll-bar-b-q
26224,n3qk,Bamboo Union - Gulberg,4.8,2510,"95B-D/1, Main Boulevard, Gulberg III, Lahore",31.5187989,74.3507867,249,99,https://images.deliveryhero.io/image/fd-pk/LH/n3qk-listing.jpg,0.775,bamboo-union-gulberg-n3qk
66223,auw4,Bannu Beef Pulao - Turab Foods - Main Market,3.7,3761,,31.5228118,74.3471157,249,99,https://images.deliveryhero.io/image/fd-pk/LH/auw4-listing.jpg,1.135,bannu-beef-pulao-turab-foods-main-market
23411,n4ze,NY 212 - Gulberg,4.7,5503,"Shop# 7, 9C Mall, MM Alam Road, Gulberg-III Lahore",31.51050015,74.35006075,249,99,https://images.deliveryhero.io/image/fd-pk/LH/n4ze-listing.jpg,1.372,ny-212-gulberg
108097,ak9e,Dough Joe - Gulberg,4.9,404,,31.518656,74.3458762,249,99,https://images.deliveryhero.io/image/fd-pk/LH/ak9e-listing.jpg,1.235,dough-joe-gulberg
36122,w8tn,Happy Burger - Liberty,4.7,3910,"3 Expo Center Rd, Block H 3 Phase 2 Johar Town, Lahore",31.5104811,74.34323485,249,99,https://images.deliveryhero.io/image/fd-pk/LH/w8tn-listing.jpg,1.836,happy-burger-liberty
101448,fyey,Karachi Paratha Roll,4.9,840,,31.5094117,74.3573522,249,99,https://images.deliveryhero.io/image/fd-pk/LH/fyey-listing.jpg,1.226,karachi-paratha-roll-fyey
111964,bewf,Polymath,4.9,84,,31.5152689,74.3443114,249,99,https://images.deliveryhero.io/image/fd-pk/LH/bewf-listing.jpg,1.481,polymath
8155,t9pp,CP Five Star - Shadman,4.9,9195,"Shop 18, Agro Square, Shadman market, Lahore",31.5388,74.33083,249,99,https://images.deliveryhero.io/image/fd-pk/LH/t9pp-listing.jpg,3.347,cp-five-star-shadman
39530,w8go,Karachi Pratha Roll & Fast Food,4.5,10759,"Block C3, Liberty Gulberg, Lahore",31.508569,74.344884,249,99,https://images.deliveryhero.io/image/fd-pk/LH/w8go-listing.jpg,1.857,karachi-pratha-roll-and-fast-food
114630,xh9v,Substation,4.8,29,,31.5163414,74.3515528,249,99,https://images.deliveryhero.io/image/fd-pk/LH/xh9v-listing.jpg,0.816,substation
91528,fgaw,Dera Restaurant - Cavalry Ground,4.6,1285,,31.5021331,74.3742771,249,99,https://images.deliveryhero.io/image/fd-pk/LH/fgaw-listing.jpg,2.506,dera-restaurant-cavalry-ground
107263,x8l5,A1 Tasty Halal Cart - Gulberg,4.8,557,,31.5152817,74.3443132,249,99,https://images.deliveryhero.io/image/fd-pk/LH/x8l5-listing.jpg,1.481,a1-tasty-halal-cart-gulberg
66726,rtvr,Ahmad Dahi Bhallay - Cavalry Ground,4.9,2928,,31.4992017,74.36610215,249,99,https://images.deliveryhero.io/image/fd-pk/LH/rtvr-listing.jpg,2.455,ahmad-dahi-bhallay-cavalry-ground
109245,v96t,BIRYANI MASTER GULBARG,4.8,220,,31.5150233,74.3435234,249,99,https://images.deliveryhero.io/image/fd-pk/LH/v96t-listing.jpg,1.561,biryani-master-gulbarg
98327,rvot,Arcadian Cafe - Gulberg,4.8,415,,31.5225715,74.3494249,249,99,https://images.deliveryhero.io/image/fd-pk/LH/rvot-listing.jpg,0.917,arcadian-cafe-gulberg-rvot
114923,a34d,Burger Lab – Gulberg LHR,4.4,106,,31.5054136,74.3322369,249,99,https://images.deliveryhero.io/image/fd-pk/LH/a34d-listing.jpg,3.014,burger-lab-gulberg-lhr
9309,t0nq,Vip Sabir Daal Chawal & Chicken Biryani,4.4,6636,,31.52353035,74.34555665,249,99,https://images.deliveryhero.io/image/fd-pk/LH/t0nq-listing.jpg,1.299,vip-sabir-daal-chawal-and-chicken-biryani
81081,jk6f,Nafees Dahi Bhallay - Barket Market,4.8,2933,,31.4989396,74.3206185,249,99,https://images.deliveryhero.io/image/fd-pk/LH/jk6f-listing.jpg,4.329,nafees-dahi-bhallay-barket-market
